key,en,vi
exercises.desc_dumbbell_lateral_raise,"1. Stand with a slight bend in your elbows.
2. Exhale and raise the dumbbells out to the sides (like pouring water from a pitcher) until your arms are parallel to the floor.
3. Inhale and lower the weights back down slowly without losing tension.","1. Đứng thẳng, hai tay cầm tạ. Hơi gập nhẹ khuỷu tay.
2. Thở ra, nâng tạ sang ngang như đang hắt nước, cho đến khi cánh tay song song với sàn.
3. Hít vào và từ từ hạ tạ xuống không để mất lực căng."
exercises.name_dumbbell_lunges,Dumbbell Lunge,Bước gập gối tạ đơn
exercises.desc_dumbbell_lunges,"1. Hold dumbbells by your sides. Inhale and take a step forward.
2. Drop your hips straight down until both knees form a 90-degree angle.
3. Exhale and push off your front foot to return to the starting position.","1. Cầm tạ hai tay. Hít vào, bước một chân lên phía trước một khoảng vừa đủ.
2. Hạ thấp hông theo phương thẳng đứng đến khi hai đầu gối đều tạo góc 90 độ.
3. Thở ra, dồn lực bật mạnh từ chân trước đẩy lùi người về vị trí xuất phát."
exercises.name_dumbbell_rdl,Dumbbell Romanian Deadlift,Deadlift chân thẳng tạ đơn
exercises.desc_dumbbell_rdl,"1. Stand tall holding dumbbells in front of your thighs. Keep a slight bend in your knees.
2. Inhale, push your hips straight back, and glide the weights down your legs until you feel a deep hamstring stretch.
3. Exhale, squeeze your glutes, and push your hips forward to stand back up.","1. Đứng thẳng, tạ đơn đặt sát đùi trước. Đầu gối hơi chùng nhẹ.
2. Hít sâu, đẩy hông thẳng ra phía sau (hip hinge) và trượt tạ dọc xuống chân cho đến khi đùi sau căng.
3. Thở ra, siết mông đẩy hông về trước để đứng thẳng lên."
exercises.name_dumbbell_reverse_fly,Dumbbell Reverse Fly,Dang vai sau tạ đơn
exercises.desc_dumbbell_reverse_fly,"1. Bend over so your torso is almost parallel to the floor. Keep a slight bend in your elbows.
2. Exhale and raise the dumbbells out to your sides like spreading wings.
3. Squeeze your rear delts at the top, then inhale and lower slowly.","1. Cúi gập người, lưng thẳng và song song với sàn. Khuỷu tay cong nhẹ.
2. Thở ra, dang hai cánh tay giương rộng ra hai bên như đôi cánh.
3. Ép bả vai ở đỉnh, hít vào và từ từ hạ tạ xuống."
exercises.name_dumbbell_row,Dumbbell Row,Kéo tạ đơn
exercises.desc_dumbbell_row,"1. Bend over keeping your back straight. Let the dumbbells hang down.
2. Exhale and pull the dumbbells up toward your hips, driving your elbows to the ceiling.
3. Squeeze your shoulder blades together at the top. Inhale and lower slowly.","1. Cúi gập người, lưng thẳng. Hai tay cầm tạ buông thõng tự nhiên.
2. Thở ra, kéo hai quả tạ lên phía mạn sườn, hướng cùi chỏ lên trần nhà.
3. Ép bả vai ở đỉnh. Hít vào và hạ tạ từ từ xuống."
exercises.name_dumbbell_shoulder_press,Dumbbell Shoulder Press,Đẩy vai tạ đơn
exercises.desc_dumbbell_shoulder_press,"1. Sit with chest up, holding dumbbells at shoulder level. Exhale and press them overhead.
2. Bring the weights close together at the top without clanking them.
3. Inhale and slowly lower them back down to ear/shoulder level.","1. Ngồi ưỡn ngực, cầm tạ ngang vai. Thở ra, đẩy tạ thẳng lên đỉnh đầu.
2. Ép cơ vai ở đỉnh (hai quả tạ gần chạm nhau).
3. Hít vào và từ từ hạ tạ xuống ngang tai."
exercises.name_dumbbell_shrugs,Dumbbell Shrug,Nhún vai tạ đơn
exercises.desc_dumbbell_shrugs,"1. Stand tall with dumbbells hanging naturally by your sides.
2. Exhale and shrug your shoulders straight up toward your ears.
3. Hold the top contraction for 1 second.
4. Inhale and lower your shoulders all the way down to stretch your traps.","1. Hai tay cầm tạ buông thõng hoàn toàn.
2. Thở ra, nhún hai bờ vai thẳng lên hướng về lỗ tai. Giữ đỉnh 1 giây.
3. Hít vào, hạ vai xuống sâu để kéo giãn cơ cầu vai."
exercises.name_face_pull,Face Pull,Kéo cáp ngang mặt
exercises.desc_face_pull,"1. Attach a rope to a high pulley. Pull the rope toward your forehead.
2. As you pull, pull the handles apart and rotate your wrists up, driving your elbows back past your ears.
3. Squeeze your shoulder blades for 1 second. Inhale and slowly return.","1. Lắp dây thừng vào cáp cao. Kéo dây hướng về phía trán.
2. Tách hai đầu dây ra, xoay cổ tay lên trên và kéo cùi chỏ ra phía sau mang tai.
3. Ép bả vai 1 giây. Hít vào từ từ nhả tay."
exercises.name_glute_bridge,Glute Bridge,Nâng hông
exercises.desc_glute_bridge,"1. Lie on your back with knees bent. Inhale and brace your core.
2. Exhale, drive through your heels, and squeeze your glutes to push your hips up until your body forms a straight line.
3. Hold for 1-2 seconds at the top. Inhale and slowly lower your hips.","1. Nằm ngửa, gập gối. Hít sâu, gồng cơ bụng.
2. Thở ra, dồn lực gót chân siết mông đẩy hông lên tạo đường thẳng từ gối đến vai.
3. Giữ 1-2 giây ở đỉnh. Hít vào từ từ hạ hông xuống sàn."
exercises.name_goblet_squat,Goblet Squat,Squat ôm tạ
exercises.desc_goblet_squat,"1. Hold a dumbbell vertically against your chest. Inhale and brace your core.
2. Push your hips back and squat down, letting your elbows drop between your knees.
3. Exhale, drive through your heels, and stand back up.","1. Ôm dọc 1 quả tạ đơn sát trước ngực. Hít sâu, gồng cơ core.
2. Đẩy hông ra sau và hạ người tư thế Squat. Hai cùi chỏ đi vào giữa hai đầu gối.
3. Thở ra, dồn lực gót chân đứng thẳng dậy."
exercises.name_hack_squat,Hack Squat,Hack Squat
exercises.desc_hack_squat,"1. Position your back flat against the Hack Squat pad. Inhale and bend your knees to lower the sled.
2. Descend until your thighs are parallel to the footplate.
3. Exhale and drive forcefully through your heels to push the sled back up.","1. Áp sát lưng phẳng vào đệm máy Hack Squat. Hít vào, gập gối hạ người.
2. Xuống đến khi đùi song song với bàn đạp.
3. Thở ra, dồn lực gót chân đẩy máy vút lên vị trí cũ."
exercises.name_hammer_curl,Hammer Curl,Cuốn tạ búa
exercises.desc_hammer_curl,"1. Hold dumbbells with a neutral grip (palms facing each other). Keep upper arms fixed to your sides.
2. Exhale and curl the weights up toward your shoulders, maintaining the neutral grip.
3. Inhale and slowly lower the weights down.","1. Hai tay cầm tạ đơn, lòng bàn tay luôn hướng vào nhau. Cố định bắp tay sát sườn.
2. Thở ra, cuốn tạ lên vai, giữ nguyên mặt phẳng tay (như đang đóng búa).
3. Hít vào từ từ hạ tạ xuống."
exercises.name_hanging_leg_raise,Hanging Leg Raise,Treo người nâng chân
exercises.desc_hanging_leg_raise,"1. Hang from a pull-up bar. Brace your core tightly.
2. Exhale and raise your legs straight in front of you until they are parallel to the floor (or higher).
3. Hold for 1 second, then inhale and lower them with control.","1. Treo người trên xà. Siết chặt cơ core.
2. Thở ra, nâng hai chân lên phía trước cho đến khi song song với sàn (hoặc cao hơn).
3. Giữ 1 giây, hít vào và từ từ hạ chân có kiểm soát."
exercises.name_high_knees,High Knees,Chạy nâng cao đùi
exercises.desc_high_knees,"1. Run in place, driving one knee up to hip level at a time.
2. Alternate your legs as fast as possible.
3. Pump your arms rhythmically, keeping your chest up and core engaged.","1. Chạy tại chỗ, kéo cao một bên đầu gối ngang hông.
2. Luân phiên đánh gối nhanh nhất có thể.
3. Đánh tay nhịp nhàng như đang chạy nước rút."
exercises.name_hip_abduction,Hip Abduction Machine,Máy đẩy đùi ngoài
exercises.desc_hip_abduction,"1. Sit in the outer thigh machine with your legs closed against the pads.
2. Exhale and push your knees outward as far as possible using your glutes.
3. Hold the squeeze for 1 second. Inhale and slowly bring your legs back together.","1. Ngồi máy đẩy đùi ngoài, hai chân khép lại tựa vào đệm.
2. Thở ra, dùng lực mông ngoài đẩy đùi mở rộng sang hai bên hết cỡ.
3. Giữ siết cơ mông 1 giây, hít vào từ từ khép lại."
exercises.name_hip_adduction,Hip Adduction Machine,Máy ép đùi trong
exercises.desc_hip_adduction,"1. Sit in the inner thigh machine with your legs spread open against the pads.
2. Exhale and squeeze your thighs together to close the pads.
3. Hold for 1 second. Inhale and slowly let your legs open under control.","1. Ngồi máy ép đùi trong, mở rộng hai chân tựa vào đệm tì.
2. Thở ra, dùng lực đùi trong ép hai chân sát lại với nhau.
3. Giữ 1 giây. Hít vào từ từ nhả tạ mở chân ra."
exercises.name_hip_thrust,Barbell Hip Thrust,Nâng hông tạ đòn
exercises.desc_hip_thrust,"1. Rest your upper back on a bench with the barbell across your hips. Position your feet so your shins are vertical at the top of the movement.
2. Inhale, brace your core, and tuck your chin slightly.
3. Exhale, drive through your heels, and squeeze your glutes to thrust the bar up until your thighs and torso are parallel to the floor.
4. Hold the top for 1-2 seconds, then slowly lower.","1. Tựa vai lên ghế, đặt thanh tạ ngang hông. Căn chỉnh sao cho khi đẩy hông lên đỉnh, cẳng chân vuông góc với mặt sàn.
2. Hít vào, gồng cơ core, cằm hơi thu về phía ngực.
3. Thở ra, dồn lực vào gót chân và siết cơ mông đẩy tạ lên cho đến khi đùi và thân trên song song với sàn.
4. Giữ 1-2 giây, sau đó từ từ hạ hông xuống."
exercises.name_hyperextensions,Back Extension,Gập lưng dưới
exercises.desc_hyperextensions,"1. Lock yourself into a back extension bench. Inhale and bend forward at the hips until your torso is vertical to the floor.
2. Exhale and use your lower back and glutes to pull your torso up until it forms a straight line with your legs.
3. Hold the top for 1 second, then inhale and slowly lower back down.","1. Tựa hông vào ghế. Hít vào, gập người xuống vuông góc.
2. Thở ra, dùng cơ lưng dưới và mông kéo thân người lên tạo thành đường thẳng.
3. Giữ đỉnh 1 giây, hít vào hạ thân người chậm rãi."
exercises.name_incline_barbell_press,Incline Barbell Bench Press,Đẩy ngực trên tạ đòn
exercises.desc_incline_barbell_press,"1. Lie on an incline bench (30-45 degrees). Unrack the bar and hold it over your upper chest.
2. Inhale and lower the bar under control until it lightly touches your upper chest/collarbone.
3. Exhale and press the bar straight back up to the starting position.","1. Nằm ghế dốc lên (30-45 độ). Nhấc tạ đòn nằm trên vùng ngực trên (xương quai xanh).
2. Hít vào, hạ tạ chạm nhẹ ngực trên có kiểm soát.
3. Thở ra, đẩy thẳng tạ lên vị trí ban đầu."
exercises.name_incline_dumbbell_fly,Incline Dumbbell Fly,Ép ngực trên tạ đơn
exercises.desc_incline_dumbbell_fly,"1. Lie on an incline bench, pressing dumbbells straight up. Keep a slight bend in your elbows.
2. Inhale and open your arms out to the sides until you feel a deep stretch in your upper chest.
3. Exhale and hug the weights back to the top following the same path.","1. Nằm ghế dốc lên. Đẩy 2 tạ đơn thẳng lên trần. Hơi gập khuỷu tay.
2. Hít vào, mở rộng cánh tay sang hai bên cho đến khi ngực trên căng tối đa.
3. Thở ra, ép ngực đưa tạ về vị trí ban đầu."
exercises.name_incline_dumbbell_press,Incline Dumbbell Press,Đẩy ngực trên tạ đơn
exercises.desc_incline_dumbbell_press,"1. Lie on an incline bench and press dumbbells up over your upper chest.
2. Inhale and lower the dumbbells to the sides. Flare your elbows out at a 45-degree angle.
3. Exhale, squeeze your upper chest, and press the weights back up, bringing them close together at the top.","1. Nằm ghế dốc lên, đẩy 2 tạ đơn lên thẳng vùng ngực trên.
2. Hít vào, hạ tạ xuống hai bên. Cùi chỏ mở góc khoảng 45 độ.
3. Thở ra, siết ngực trên đẩy tạ vút lên, hai tạ gần chạm nhau ở đỉnh."
exercises.name_incline_push_up,Incline Push-Up,Hít đất dốc lên
exercises.desc_incline_push_up,"1. Place your hands on an elevated box or bench. Keep your body in a straight line.
2. Inhale and lower your chest toward the box, keeping your elbows tucked at a 45-degree angle.
3. Exhale and forcefully push back up to straight arms.","1. Chống hai tay lên bục/ghế cao. Lưng, hông, chân tạo thành một đường thẳng.
2. Hít vào, gập cùi chỏ hạ ngực gần chạm mép bục.
3. Thở ra, đẩy mạnh người lên thẳng tay."
exercises.name_indoor_cycling,Indoor Cycling,Đạp xe trong nhà
exercises.desc_indoor_cycling,"1. Start pedaling at a moderate pace to warm up.
2. Keep your core slightly engaged to stabilize your upper body and maintain a smooth, circular pedal stroke.
3. Adjust the resistance and speed based on your workout protocol.","1. Bắt đầu đạp tốc độ vừa phải để làm nóng khớp.
2. Gồng nhẹ cơ bụng giữ ổn định thân trên, duy trì vòng đạp mượt mà, tròn vành.
3. Điều chỉnh lực cản (resistance) theo giáo án tập luyện."
